title	publisher	1	2
Pratique Neurologique - FMC	Elsevier	1878-7762	
Journal de Chirurgie Viscérale	Elsevier	1878-786X	
La Revue d Homéopathie	Elsevier	1878-9730	
La Revue de Santé Scolaire et Universitaire	Elsevier	1879-3991	
DoctorConsult - The Journal Wissen für Klinik und Praxis	Elsevier	1879-4122	
Tijdschrift voor ouderengeneeskunde	Springer-Verlag	1879-4637	
GZ - Psychologie	Springer-Verlag	1879-5099	1879-5080
Annales françaises d Oto-rhino-laryngologie et de Pathologie Cervico-faciale	Elsevier	1879-7261	
Tijdschrift voor Religie Recht en Beleid	Boom Uitgevers Den Haag	1879-7784	
EMC - Radiologie et imagerie médicale - Principes et techniques - Radioprotection	Elsevier	1879-8497	
EMC - Radiologie et imagerie médicale - Abdominale - Digestive	Elsevier	1879-8527	
EMC - Radiologie et imagerie médicale - Cardiovasculaire - Thoracique - Cervicale	Elsevier	1879-8535	
EMC - Radiologie et imagerie médicale - Génito-urinaire - Gynéco-obstétricale - Mammaire	Elsevier	1879-8543	
EMC - Radiologie et imagerie médicale - Musculosquelettique - Neurologique - Maxillofaciale	Elsevier	1879-8551	
Tijdschrift voor Toezicht	Boom Uitgevers Den Haag	1879-8705	
TEION KOGAKU (Journal of Cryogenics and Superconductivity Society of Japan)	Cryogenic Association of Japan	1880-0408	0389-2441
Nature Digest	Springer Nature	1880-0556	
Journal of Signal Processing	Research Institute of Signal Processing	1880-1013	1342-6230
Quarterly Report of RTRI	Railway Technical Research Institute	1880-1765	0033-9008
Journal of Textile Engineering	The Textile Machinery Society of Japan	1880-1986	1346-8235
Sen i Kikai Gakkaishi (Journal of the Textile Machinery Society of Japan)	The Textile Machinery Society of Japan	1880-1994	0371-0580
Primate Research	Primate Society of Japan	1880-2117	0912-4047
Nihon Ika Daigaku Igakkai Zasshi	The Medical Association of Nippon Medical School	1880-2877	1349-8975
Shokubutsu Kojo Gakkaishi	Japanese Society of Agricultural, Biological and Environmental Engineers and Scientists	1880-3555	0918-6638
Shokubutsu Kankyo Kogaku	Japanese Society of Agricultural, Biological and Environmental Engineers and Scientists	1880-3563	1880-2028
Horticultural Research (Japan)	The Japanese Society for Horticultural Science	1880-3571	1347-2658
Nishi Nihon Hifuka	Western Japan Division of JDA	1880-4047	0386-9784
Yamaguchi Medical Journal	Yamaguchi University Medical Association	1880-4462	0513-1731
Surgery for Cerebral Stroke	The Japanese Society on Surgery for Cerebral Stroke	1880-4683	0914-5508
Kodo Keiryogaku (The Japanese Journal of Behaviormetrics)	The Behaviormetric Society of Japan	1880-4705	0385-5481
Palliative Care Research	Japanese Society for Palliative Medicine	1880-5302	
Annals of Cancer Research and Therapy	The Japanese Society of Strategies for Cancer Research and Therapy	1880-5469	1344-6835
Journal of Fluid Science and Technology	The Japan Society of Mechanical Engineers	1880-5558	
Journal of Thermal Science and Technology	The Japan Society of Mechanical Engineers	1880-5566	
Ensho Saisei	The Japanese Society of Inflammation and Regeneration	1880-5795	1346-8022
Microvascular Reviews and Communications	Japanese Society for  Microcirculation	1880-5906	
Doboku Gakkai Ronbunshuu A	Japan Society of Civil Engineers	1880-6023	
Doboku Gakkai Ronbunshuu B	Japan Society of Civil Engineers	1880-6031	
Doboku Gakkai Ronbunshuu C	Japan Society of Civil Engineers	1880-604X	
Doboku Gakkai Ronbunshuu D	Japan Society of Civil Engineers	1880-6058	
Doboku Gakkai Ronbunshuu E	Japan Society of Civil Engineers	1880-6066	
Doboku Gakkai Ronbunshuu F	Japan Society of Civil Engineers	1880-6074	
Doboku Gakkai Ronbunshuu G	Japan Society of Civil Engineers	1880-6082	
Shigen-to-Sozai	The Mining and Materials Processing Institute of Japan	1880-6244	0916-1740
Japanese Geotechnical Journal	The Japanese Geotechnical Society	1880-6341	
Studies in Regional Science	The Japan Section of the Regional Science Association International	1880-6465	0287-6256
Higher Brain Function Research	Japan Society for Higher Brain Dysfunction	1880-6554	1348-4818
Papers in Meteorology and Geophysics	Meteorological Research Institute, Japan Meteorological Agency	1880-6643	0031-126X
Nihon Kikan Shokudoka Gakkai Kaiho	Japan Broncho-esophagological Society	1880-6848	0029-0645
Environmental Mutagen Research	The Japanese Environmental Mutagen Society	1880-7054	0910-0865
Suiei Suichu Undo Kagaku	Japanese Society of Sciences in Swimming and Water Exercise	1880-7097	1880-6937
Root Research	Japanese Society for Root Research	1880-7186	0919-2182
Journal of the Society of Materials Science Japan	The Society of Materials Science Japan	1880-7488	0514-5163
The Japanese Journal of Rehabilitation Medicine	The Japanese Association of Rehabilitation Medicine	1880-778X	0034-351X
Journal of Japan Institute of Light Metals	Japan Institute of Light Metals	1880-8018	0451-5994
E-journal GEO	The Association of Japanese Geographers	1880-8107	
Nihon Chikusan Gakkaiho	Japanese Society of Animal Science	1880-8255	1346-907X
The Journal of the Kyushu Dental Society	The Kyushu Dental Society	1880-8719	0368-6833
Tohoku Mathematical Publications	Mathematical Institute, Tohoku University	1880-876X	1343-9499
The Journal of Japanese College of Angiology	Japan College of Angiology	1880-8840	0387-1126
Journal of the Japan Society of Powder and Powder Metallurgy	Japan Society of Powder and Powder Metallurgy	1880-9014	0532-8799
Japanese Journal of Animal Psychology	The Japanese Society for Animal Psychology	1880-9022	0916-8419
Spinal Surgery	Japanese Society of Spinal Surgery	1880-9359	0914-6024
Journal of Biomechanical Science and Engineering	The Japan Society of Mechanical Engineers	1880-9863	
Journal of Solid Mechanics and Materials Engineering	The Japan Society of Mechanical Engineers	1880-9871	
Journal of Environment and Engineering	The Japan Society of Mechanical Engineers	1880-988X	
Journal of Agricultural Meteorology	The Society of Agricultural Meteorology of Japan	1881-0136	0021-8588
W waves	The Japanese Society of Strategies for Cancer Research and Therapy	1881-0241	
Japanese Journal of Water Treatment Biology	Japanese Society of Water Treatment Biology	1881-0438	0910-6758
Journal of Life Cycle Assessment Japan	Institute of Life Cycle Assessment, Japan	1881-0519	1880-2761
Journal of JSEE	Japanese Society for Engineering Education	1881-0764	1341-2167
JAPAN TAPPI JOURNAL	Japan Technical Association of the Pulp and Paper Industry	1881-1000	0022-815X
Journal of the Textile Machinery Society of Japan	The Textile Machinery Society of Japan	1881-1159	0040-5043
Transactions of the Iron and Steel Institute of Japan	The Iron and Steel Institute of Japan	1881-1183	0021-1583
Bulletin of the Agricultural Chemical Society of Japan	Informa UK (Taylor & Francis)	1881-1272	0375-8397
Bulletin of JSME	The Japan Society of Mechanical Engineers	1881-1426	0021-3764
Nippon Laser Igakkaishi	Japan Society for Laser Surgery and Medicine	1881-1639	0288-6200
Journal of the Japan Society of Naval Architects and Ocean Engineers	Japan Society of Naval Architects and Ocean Engineers	1881-1760	1880-3717
Tribology Online	Japanese Society of Tribologists	1881-2198	
The Japanese Journal of Veterinary Dermatology	Japanese Society of Veterinary Dermatology	1881-2236	1347-6416
JOURNAL OF RURAL PLANNING ASSOCIATION	The Association for Rural Planning	1881-2309	0912-9731
Journal for the Integrated Study of Dietary Habits	The Japanese Association for the Integrated Study of Dietary Habits	1881-2368	1346-9770
Journal of Veterinary Epidemiology	The Japan Society of Veterinary Epidemiology	1881-2562	1343-2583
Drug Delivery System	Japan Society of Drug Delivery System	1881-2732	0913-5006
Suizo	Japan Pancreas Society	1881-2805	0913-0071
Journal of Advanced Mechanical Design Systems and Manufacturing	The Japan Society of Mechanical Engineers	1881-3054	
Journal of Power and Energy Systems	The Japan Society of Mechanical Engineers	1881-3062	
JOURNAL OF MINERALOGY PETROLOGY AND ECONOMIC GEOLOGY	Japan Association of Mineralogical Sciences	1881-3275	0914-9783
Journal of Japan Society on Water Environment	Japan Society on Water Environment	1881-3690	0916-8958
Journal of Advanced Science	Society of Advanced Science	1881-3917	0915-5651
Nihon Shoni Jinzobyo Gakkai Zasshi	The Japanese Society for Pediatric Nephrology	1881-3933	0915-2245
Journal of the Japanese Association for Petroleum Technology	Japanese Association for Petroleum Engineers	1881-4131	0370-9868
Netsu Bussei	Japan Society of Thermophysical Properties	1881-414X	0913-946X
The Journal of the Japanese Association for Chest Surgery	Japanese Association for Chest Surgery	1881-4158	0919-0945
The Journal of the Institute of Electrical Engineers of Japan	Institute Electrical Engineers Japan	1881-4190	1340-5551
Japanese Journal of Forensic Science and Technology	Japanese Association of Forensic Science and Technology	1881-4689	1880-1323
Hyomen Kagaku	The Surface Science Society of Japan	1881-4743	0388-5321
BUTSURI-TANSA(Geophysical Exploration)	The Society of Exploration Geophysicists of Japan	1881-4824	0912-7984
Journal of Environmental Science for Sustainable Society	Graduate School of Environmental Science, Okayama University	1881-5073	
Agricultural Information Research	The Japanese Society of Agricultural Informatics	1881-5219	0916-9482
JFPS International Journal of Fluid Power System	The Japan Fluid Power System Society	1881-5286	
Journal of Japanese Society for Extremophiles	Japanese Society for Extremophiles	1881-5758	1348-5474
JAPANESE JOURNAL OF MULTIPHASE FLOW	The Japanese Society for Multiphase Flow	1881-5790	0914-2843
Progress in Multiphase Flow Research	The Japanese Society for Multiphase Flow	1881-6088	1881-5804
Plant Root	Japanese Society for Root Research	1881-6754	
The Journal of the Marine Acoustics Society of Japan	Marine Acoustics Society of Japan	1881-6819	0916-5835
Topologica	21st Century COE Program (Toplogical Science and Technology)	1881-6886	
Journal of Computational Science and Technology	The Japan Society of Mechanical Engineers	1881-6894	
The Journal of The Institute of Image Information and Television Engineers	The Institute of Image Information and Television Engineers	1881-6908	1342-6907
SUISUI Hydrological Research Letters	Japan Society of Hydrology and Water Resources	1881-6967	
Journal of Japan Society for Fuzzy Theory and Intelligent Informatics	Japan Society for Fuzzy Theory and Intelligent Informatics	1881-7203	1347-7986
Reproductive Immunology and Biology	Japan Society for Immunology of Reproduction	1881-7211	1881-607X
Journal of Space Engineering	The Japan Society of Mechanical Engineers	1881-736X	
Taiikugaku kenkyu (Japan Journal of Physical Education Health and Sport Sciences)	Japan Society of Physical Education, Health and Sport Sciences	1881-7718	0484-6710
The Quaternary Research (Daiyonki-Kenkyu)	Japan Association for Quaternary Resarch	1881-8129	0418-2642
Journal of Structural and Construction Engineering (Transactions of AIJ)	Architectural Institute of Japan	1881-8153	1340-4202
Journal of Environmental Engineering (Transactions of AIJ)	Architectural Institute of Japan	1881-817X	1348-0685
AIJ Journal of Technology and Design	Architectural Institute of Japan	1881-8188	1341-9463
Chromosome Botany	International Society of Chromosome Botany	1881-8285	1881-5936
Engineering in Agriculture Environment and Food	Elsevier	1881-8366	
Toukeibu Gan	Japan Society for Head and Neck Cancer	1881-8382	1349-5747
Molecular Science	Japan Society of Molecular Science	1881-8404	
The Japanese Journal of Rehabilitation Medicine	The Japanese Association of Rehabilitation Medicine	1881-8560	1881-3526
Journal of the Japan Society for Precision Engineering Contributed Papers	The Japan Society for Precision Engineering	1881-8722	1348-8724
Choonpa Igaku	The Japan Society of Ultrasonics in Medicine	1881-9311	1346-1176
Hikaku seiri seikagaku(Comparative Physiology and Biochemistry)	The Japanese Society for Comparative Physiology and Biochemistry	1881-9346	0916-3786
Thermal Medicine(Japanese Journal of Hyperthermic Oncology)	Japanese Society for Thermal Medicine	1881-9516	0911-2529
Zairyo-to-Kankyo	Japan Society of Corrosion Engineering	1881-9664	0917-0480
Journal of the Japan Landslide Society	Japan Landslide Society	1882-0034	1348-3986
Journal of the Japan Society for Technology of Plasticity	The Japan Society for Technology and Plasticity	1882-0166	0038-1586
Fire Science and Technology	The Center for Fire Science and Technology, Research Institute for Science and Technology, Tokyo University of Science	1882-0492	0285-9521
IEICE ESS FUNDAMENTALS REVIEW	Institute of Electronics, Information and Communications Engineers	1882-0875	
Iryo Yakugaku (Japanese Journal of Pharmaceutical Health Care and Sciences)	Japanese Society of Pharmaceutical Health Care and Sciences	1882-1499	1346-342X
Oral Medicine & Pathology	The Japanese Society for Oral Pathology	1882-1537	1342-0984
Journal of Mechanical Systems for Transportation and Logistics	The Japan Society of Mechanical Engineers	1882-1782	
The Journal of Japanese Society of Lumbar Spine Disorders	The Japanese Society of Lumbar Spine Disorders	1882-1863	1345-9074
Journal of Microwave Surgery	Study Group of Microwave Surgery	1882-210X	0917-7728
Journal of the Japan Organization of Clinical Dermatologists	Japan Organization of Clinical Dermatologists	1882-272X	1349-7758
Nihon Shoni Arerugi Gakkaishi The Japanese Journal of Pediatric Allergy and Clinical Immunology	Japanese Society of Pediatric Allergy and Clinical Immunology	1882-2738	0914-2649
ANTI-AGING MEDICINE	Japanese Society of Anti-Aging Medicine	1882-2762	
Japanese journal of science and technology for identification	Japanese Association of Forensic Science and Technology	1882-2827	1342-8713
Journal of the Magnetics Society of Japan	The Magnetics Society of Japan	1882-2932	0285-0192
Nippon Hojyoken Kagaku Kenkyu	Japanese Society of Service Dog Research	1882-3084	1881-8978
Asian Pacific Journal of Disease Management	Japan Society of Health Support Science	1882-3130	
Aqua-BioScience Monographs	Terrapub	1882-322X	
International Symposium on Eucommia ulmoides	Japanese Society of Eucommia	1882-3319	1881-5111
Hydrological Research Letters	Japan Society of Hydrology and Water Resources	1882-3416	
STRUCTURAL ENGINEERING / EARTHQUAKE ENGINEERING	Japan Society of Civil Engineers	1882-3424	0289-8063
Thermal Medicine	Japanese Society for Thermal Medicine	1882-3750	1882-2576
Journal of the Japanese Forest Society	The Japanese Forest Society	1882-398X	1349-8509
Journal of Japan Academy of Midwifery	Japan Academy of Midwifery	1882-4307	0917-6357
Journal of Snow Engineering of Japan	Japan Society for Snow Engineering	1882-4358	0913-3526
SOCIOTECHNICA	Sociotechnology Research Network - Shakai Gijutsu Kenkyuukai	1882-4609	1349-0184
Journal of the Vacuum Society of Japan	Vacuum Society of Japan	1882-4749	1882-2398
Journal of Weed Science and Technology	The Weed Science Society of Japan	1882-4757	0372-798X
Japanese Journal of Limnology (Rikusuigaku Zasshi)	The Japanese Society of Limnology	1882-4897	0021-5104
Nihon Rinsho Geka Gakkai Zasshi (Journal of Japan Surgical Association)	Japan Surgical Association	1882-5133	1345-2843
Biophilia Rehabilitation Journal	Biophilia Rehabilitation Acdemy	1882-5559	1347-5568
Epilepsy & Seizure	The Japan Epilepsy Society	1882-5567	
Journal of the Japanese Coral Reef Society	Japanese Coral Reef Society	1882-5710	1345-1421
Journal of Environmental Chemistry	Japan Society for Environmental Chemistry	1882-5818	0917-2408
Japanese Journal of Food Microbiology	Japanese Society of Food Microbiology	1882-5982	1340-8267
Journal of the Japan Institute of Energy	The Japan Institute of Energy	1882-6121	0916-8753
Plankton and Benthos Research	The Plankton Society of Japan (The Japanese Association of Benthology)	1882-627X	1880-8247
International Journal of Erosion Control Engineering	Japan Society of Erosion Control Engineering	1882-6547	
Zen Nihon Shinkyu Gakkai zasshi (Journal of the Japan Society of Acupuncture and Moxibustion)	The Japan Society of Acupuncture and Moxibustion	1882-661X	0285-9955
International Journal of KAATSU Training Research	Japan Kaatsu Training Society	1882-6628	1349-4562
IPSJ Online Transactions	Information Processing Society of Japan	1882-6660	
IPSJ Transactions on Bioinformatics	Information Processing Society of Japan	1882-6679	
IPSJ Transactions on System LSI Design Methodology	Information Processing Society of Japan	1882-6687	
Journal of the Japan Society for Precision Engineering	The Japan Society for Precision Engineering	1882-675X	0912-0289
Nihon Nyugan Kenshin Gakkaishi (Journal of Japan Association of Breast Cancer Screening)	Japan Association of Breast Cancer Screening	1882-6873	0918-0729
Doboku Gakkai Ronbunshu	Japan Society of Civil Engineers	1882-7187	0289-7806
The Journal of the Japanese Society of Clinical Cytology	The Japanese Society of Clinical Cytology	1882-7233	0387-1193
Synthesiology	The Editorial Committee of Synthesiology	1882-7365	1882-6229
Japanese Journal of Pharmacoepidemiology/Yakuzai ekigaku	Japanese Society for Pharmacoepidemiology	1882-790X	1342-0445
Rinsho yakuri/Japanese Journal of Clinical Pharmacology and Therapeutics	Japanese Society of Clinical Pharmacology and Therapeutics	1882-8272	0388-1601
Journal of Environmental Conservation Engineering	Society of Environmental Conservation Engineering	1882-8590	0388-9459
JAPANESE JOURNAL OF RESEARCH ON EMOTIONS	Japan Society for Research on Emotions	1882-8949	1882-8817
Nihon Gekakei Rengo Gakkaishi (Journal of Japanese College of Surgeons)	Japanese College of Surgeons	1882-9112	0385-7883
Journal of the Sedimentological Society of Japan	The Sedimentological Society of Japan	1882-9457	1342-310X
International Journal of Fluid Machinery and Systems	Korean Society for Fluid machinery	1882-9554	
Journal of the Japanese Society of Intensive Care Medicine	Japanese Society of Intensive Care Medicine	1882-966X	1340-7988
The Brain & Neural Networks	Japanese Neural Network Society	1883-0455	1340-766X
JSIAM Letters	The Japan Society for Industrial and Applied Mathematics	1883-0617	1883-0609
Japanese Journal of Transfusion and Cell Therapy	Japan Society of Transfusion Medicine and Cell Therapy	1883-0625	1881-3011
Nihon Toseki Igakkai Zasshi	Japanese Society for Dialysis Therapy	1883-082X	1340-3451
Environment Control in Biology	Japanese Society of Agricultural, Biological and Environmental Engineers and Scientists	1883-0986	1880-554X
Geosynthetics Engineering Journal	Japan Chapter of International Geosynthetics Society	1883-146X	1344-6193
Journal of the Japan Society of Waste Management Experts	Japan Society of Waste Management Experts	1883-163X	1883-1648
Nosotchu	Japan Stroke Society	1883-1923	0912-0726
Memoirs of the Faculty of Science Kyushu University Series A Mathematics	Faculty of Mathematics, Kyushu University	1883-2172	0373-6385
Journal of the Japan Society of Colour Material	Japan Society of Colour Material	1883-2199	0010-180X
Journal of Lipid Nutrition	Japan Society of Lipid Nutrition	1883-2237	1343-4594
Japanese Journal of Farm Work Research	Japanese Society of Farm Work Research	1883-2261	0389-1763
Synthesiology English edition	The Editorial Committee of Synthesiology	1883-2318	1883-0978
Japanese Journal of Infection Prevention and Control	Japanese Society of Environmental Infections	1883-2407	1882-532X
Landscape Research Japan Online	Japanese Institute of Landscape Architecture	1883-261X	
X-ray Structure Analysis Online	Japan Society for Analytical Chemistry	1883-3578	
Nihon Kyukyu Igakukai Zasshi	Japanese Association for Acute Medicine	1883-3772	0915-924X
Japanese Journal of Cardiovascular Surgery	The Japanese Society for Cardiovascular Surgery	1883-4108	0285-1474
Bulletin of the Faculty of Science Ibaraki University Series A Mathematics	Department of Mathematics, Faculty of Science	1883-4345	0579-3068
Mathematical journal of Ibaraki University	Department of Mathematics, Faculty of Science	1883-4353	1343-3636
Iryo To Shakai	The Health Care Science Institute	1883-4477	0916-9202
Japanese journal of herpetology	Herpetological Society of Japan	1883-4493	0285-3191
DENKI-SEIKO	Electric Furnace Steel Forum	1883-4558	0011-8389
The Tohoku Journal Veterinary Clinics	Japanese Society of Veterinary Clinics	1883-4590	0916-7579
Japanese Journal of Veterinary Clinics	Japanese Society of Veterinary Clinics	1883-4604	1346-8464
Marine fouling	The Sessile Organisms Society of Japan	1883-4698	0388-3531
The Journal of the Japan Society of Aeronautical Engineering	Japan Society for Aeronautical and Space Sciences	1883-5422	0021-4663
Journal of the Society of Applied Mechanics of Japan	Japan Society for Aeronautical and Space Sciences	1883-549X	
Legal History Review	Japan Legal History Association	1883-5562	0441-2508
Journal of Gymnastics for All	Japan Society of Gymnastics for All	1883-5872	
Journal of the Japan Society of Material Cycles and Waste Management	Japan Society of Waste Management Experts	1883-5899	1883-5856
Journal of Asian Electric Vehicles	Asian Electric Vehicle Society	1883-6038	1348-3927
Journal of the Japanese Association of Snow and Ice	Japanese Society of Snow and Ice	1883-6259	0286-9993
Journal of the Japanese Society of Snow and Ice	Japanese Society of Snow and Ice	1883-6267	0373-1006
Animal Psyche	The Japanese Society for Animal Psychology	1883-6275	
The Annual of Animal Psychology	The Japanese Society for Animal Psychology	1883-6283	0003-5130
Japanese Journal of Sport Psychology	Japanese Society of Sport Psychology	1883-6410	0388-7014
Journal of Occupational Safety and Health	National Institute of Industrial Health	1883-678X	1882-6822
Journal of the Japan Society of the Reticuloendothelial System	Japanese Society for Lymphoreticular Tissue Research	1883-6801	0386-9725
The journal of the Japanese Society of Lymphoreticular Tissue research	Japanese Society for Lymphoreticular Tissue Research	1883-681X	1342-9248
Nippon Nōgeikagaku Kaishi	Japan Society for Bioscience, Biotechnology, and Agrochemistry	1883-6844	0002-1407
KAGAKU TO SEIBUTSU	Japan Society for Bioscience, Biotechnology, and Agrochemistry	1883-6852	0453-073X
Annals of Japan Prosthodontic Society	Japan Prosthodontic Society	1883-6860	1883-4426
Eiseigaku oyobi saikingaku jiho	Japanese Society for Bacteriology	1883-6933	
Nihon Biseibutsu Gakkai zasshi	Japanese Society for Bacteriology	1883-6941	
Zeitschrift der Japanischen Mikrobiologische Gesellschaft	Japanese Society for Bacteriology	1883-695X	
Jikken igaku zasshi	Japanese Society for Bacteriology	1883-6976	
Nihon Bika Gakkai Kaishi (Japanese Journal of Rhinology)	Japan Rhinologic Society	1883-7077	0910-9153
Journal of Japanese Association of Hydrological Sciences	Japanese Association of Hydrological Sciences	1883-7166	1342-9612
SHINKU KOGYO	Vacuum Society of Japan	1883-7174	
SHINKU GIJUTSU	Vacuum Society of Japan	1883-7182	
JOURNAL OF THE JAPAN WELDING SOCIETY	Japan Welding Society	1883-7204	0021-4787
JOURNAL of the JAPAN ELECTRIC WELDING SOCIETY	Japan Welding Society	1883-7212	
Journal of the Society of Powder Technology Japan	The Society of Powder Technology, Japan	1883-7239	0386-6157
AUDIOLOGY JAPAN	Japan Audiological Society	1883-7301	0303-8106
Seikei-Kakou	The Japan Society of Polymer Processing	1883-7417	0915-4027
Southeast Asia History and Culture	Japan Society for Southeast Asian Studies	1883-7557	0386-9040
Journal of Human Environmental Studies	Society for Human Environmental Studies	1883-7611	1348-5253
The Japanese Journal of Nutrition and Dietetics	The Japanese Society of Nutrition and Dietetics	1883-7921	0021-5147
Journal of Disaster Research	Fuji Technology Press Ltd.	1883-8030	1881-2473
Journal of Japan Association for Snow Engineering	Japan Society for Snow Engineering	1883-8103	0913-0314
Transactions of the Society of Instrument and Control Engineers	The Society of Instrument and Control Engineers	1883-8189	0453-4654
Journal of Chemical Software	Society of Computer Chemistry, Japan	1883-8359	0918-0761
Wind Engineers JAWE	Japan Association for Wind Engineering	1883-8413	0912-1935
The Japanese journal of proctology	The Japan Society of Coloproctology	1883-8669	
Journal of the Textile Machinary Society	The Textile Machinery Society of Japan	1883-8715	
Journal of the Textile Machinery Society of Japan - Transactions -	The Textile Machinery Society of Japan	1883-8723	
Journal of the Textile Machinery of Japan - Proceedings -	The Textile Machinery Society of Japan	1883-8731	
Journal of the Research Association of Powder Technology Japan	The Society of Powder Technology, Japan	1883-8766	
Eiyo To Shokuryo	Japanese Society of Nutrition and Food Science	1883-8863	
Eiyo Shokuryo Gakkaishi	Japanese Society of Nutrition and Food Science	1883-8871	
Benthos research	The Japanese Association of Benthology	1883-888X	0289-4548
Japanese journal of benthology	The Japanese Association of Benthology	1883-891X	1345-112X
Journal of Japan Society of Civil Engineers Ser B2 (Coastal Engineering)	Japan Society of Civil Engineers	1883-8944	1884-2399
Waste Management Research	Japan Society of Waste Management Experts	1883-8960	0917-0855
Zisin (Journal of the Seismological Society of Japan 2nd ser )	Seismological Society of Japan	1883-9029	0037-1114
Journal of the Japan society of photogrammetry and remote sensing	Japan Society of Photogrammetry and Remote Sensing	1883-9061	0285-5844
Ouyoujuigakuzasshi	Japanese Society of Veterinary Science	1883-907X	
Journal of the Central Society for Veterinary Medicine	Japanese Society of Veterinary Science	1883-9088	
Chuoujuikaizasshi	Japanese Society of Veterinary Science	1883-9096	
Dainipponjuikaishi	Japanese Society of Veterinary Science	1883-910X	
FLOTATION	The Resources Processing Society of Japan	1883-9142	0427-7775
Journal of The Japanese Society of Veterinary Science	Japanese Society of Veterinary Science	1883-9193	
JAPANESE ORTHOPTIC JOURNAL	Japan Society of Engineering Geology	1883-9215	0387-5172
Journal of Historical Society of English Studies in Japan	Historical Society of English Studies in Japan	1883-9274	
Historical English Studies in Japan	Historical Society of English Studies in Japan	1883-9282	0386-9490
Kazoku syakaigaku kenkyu	Japan Society of Family Sociology	1883-9290	0916-328X
JOURNAL OF WATER AND ENVIRONMENTAL ISSUES	Japanese Association of Water Resources and Environment	1883-9398	0913-8277
Chagyo Kenkyu Hokoku (Tea Research Journal)	Japanese Society of Tea Science and Technology	1883-941X	0366-6190
Proceedings of the Japanese Histochemical Association	Japan Society of Histochemistry and Cytochemistry	1883-9444	
Syakaisyugi Keizai Kennkyukai Kaiho	Japan Association for Comparative Economic Studies	1883-9770	
Bulletin of the Association for the Study in Socialist Economies	Japan Association for Comparative Economic Studies	1883-9789	
Bulletin of the Association for Comparative Economic Studies	Japan Association for Comparative Economic Studies	1883-9797	
Bulletin of the Japan Association for Comparative Economic Studies	Japan Association for Comparative Economic Studies	1883-9800	1348-4060
Japanese Journal of Comparative Economics	Japan Association for Comparative Economic Studies	1883-9819	1880-5647
The Journal of Japanese Society of Stomatognathic Function	Japanese Society of Stomatognathic Function	1883-986X	1340-9085
Japanese jornal of Head and Neck Cancer	Japan Society for Head and Neck Cancer	1883-9878	0911-4335
The Annual review of sociology	Kantoh Sociological Society	1884-0086	0919-4363
MOKUZAI HOZON (Wood Protection)	Japan Wood Preserving Association	1884-0116	0287-9255
Memoirs of the Graduate School of Engineering Kobe University	Terrapub	1884-0299	
神戸大学大学院工学研究科紀要	Terrapub	1884-0302	
JOURNAL OF THE FLOW VISUALIZATION SOCIETY OF JAPAN	The Visualization Society of Japan	1884-0361	0287-3605
Journal of the Visualization Society of Japan	The Visualization Society of Japan	1884-037X	0916-4731
GOMU	The Society of Rubber Industry	1884-0434	
NIPPON GOMU KYOKAISHI	The Society of Rubber Industry	1884-0442	0029-022X
Journal of MMIJ	The Mining and Materials Processing Institute of Japan	1884-0450	1881-6118
AEROSPACE TECHNOLOGY JAPAN THE JAPAN SOCIETY FOR AERONAUTICAL AND SPACE SCIENCES	Japan Society for Aeronautical and Space Sciences	1884-0477	
TRANSACTIONS OF THE JAPAN SOCIETY FOR AERONAUTICAL AND SPACE SCIENCES AEROSPACE TECHNOLOGY JAPAN	Japan Society for Aeronautical and Space Sciences	1884-0485	
Iryou kikigaku (The Japanese journal of medical instrumentation)	Japanese Society of Medical Instrumentation	1884-054X	1882-4978
HISPANICA / HISPÁNICA	Asociacion Japonesa de Hispanistas	1884-0574	0910-7789
Journal of Geography (Chigaku Zasshi)	Tokyo Geographical Society	1884-0884	0022-135X
Journal of the Japan Society of Engineering Geology	Japan Society of Engineering Geology	1884-0973	0286-7737
Corrosion engineering digest	Japan Society of Corrosion Engineering	1884-1147	
Corrosion engineering digest	Japan Society of Corrosion Engineering	1884-1155	0010-9355
HYBRIDS	Japan Institute of Electronics Packaging	1884-1171	0914-2568
Journal of SHM	Japan Institute of Electronics Packaging	1884-1198	0919-4398
The Journal of Japan Institute for Interconnecting and Packaging Electronic Circuits	Japan Institute of Electronics Packaging	1884-1201	1341-0571
Journal of The Japan Institute of Electronics Packaging	Japan Institute of Electronics Packaging	1884-121X	1343-9677
Annals of The Tohoku Geographycal Asocciation	The Tohoku Geographical Association	1884-1244	0387-2777
Kikan Chirigaku	The Tohoku Geographical Association	1884-1252	0916-7889
Bulletin of the Chinese Linguistic Society of Japan	The Chinese Linguistic Society of Japan	1884-1287	0578-0969
Orient	The Society for Near Eastern Studies in Japan	1884-1392	0473-3851
Bulletin of the Society for Near Eastern Studies in Japan	The Society for Near Eastern Studies in Japan	1884-1406	0030-5219
Journal of Japanese Society for Oral Mucous Membrane	Japanese Society of Oral Medicine	1884-1473	1341-7983
Journal of Real Options and Strategy	Japan Association of Real Options and Strategy	1884-1635	1881-5774
Journal of Japan Oil Chemists Society	Japan Oil Chemists' Society	1884-2003	1341-8327
Journal of Oil Chemists Society Japan	Japan Oil Chemists' Society	1884-2011	
Zosen Kiokai Nenpo	Japan Society of Naval Architects and Ocean Engineers	1884-2046	
Journal of Zosen Kiokai	Japan Society of Naval Architects and Ocean Engineers	1884-2062	
