issns	missing _issn	Q				
2373-2288,0066-5983	2373-2288	7714165
2059-5670,0066-622X	2059-5670	4787029
2194-5020,0066-6297	2194-5020	635615
2176-7793,0066-7870	2176-7793	21386058
2201-4349,0067-1975	2201-4349	21386219
2045-2403,0068-2454	2045-2403	1679951
2045-239X,0068-2462	2045-239X	15761409
2034-6476,0068-4023	2034-6476	15761392
1712-9109,0068-8878	1712-9109	27715683
1925-0169,0069-0058	1925-0169	15759228
1530-812X,0069-4770	0069-4770	5133688
0973-0648,0069-9667	0973-0648	5165790
2044-8422,0070-1998	2044-8422	15749835
2468-9300,0070-2749	2468-9300	15755515
2194-4059,0070-444X	2194-4059	15759327
1760-7892,0070-6760	1760-7892	15764205
2307-2903,0073-8484	2307-2903	1939976
1983-3814,0073-9855	1983-3814	15749851
2191-9909,0075-2614	2191-9909	1678623
2196-6842,0075-2800	2196-6842	15817789
2101-0234,0075-966X	2101-0234	15756773
2241-2018,0076-289X	2241-2018	15763411
2051-6207,0077-6297	2051-6207	28867805
2169-3072,0077-8958	2169-3072	15764054
1179-3430,0077-9962	1179-3430	15757480
2507-0444,0078-2122	2507-0444	15759627
2300-7370,0078-3234	2300-7370	15759449
1941-2282,0078-6594	1941-2282	3356545
1954-3395,0078-6608	1954-3395	26842210
2162-4135,0079-032X	2162-4135	21385116
2449-8254,0079-2985	2449-8254	15763384
2050-2729,0079-497X	2050-2729	15762615
2102-5320,0079-726X	2102-5320	16671524
2204-1478,0079-8835	2204-1478	15754783
1865-8865,0079-9068	1865-8865	1268287
1728-3124,0080-0084	0080-0084	15759932
1815-5839,0080-3790	1815-5839	15767005
2194-4075,0080-5319	2194-4075	2211319
1980-220X,0080-6234	1980-220X	26853949
1943-6696,0081-0282	1943-6696	21385222
2058-5098,0081-6353	2058-5098	3403445
2507-0428,0081-8933	2507-0428	4048696
2364-9321,0081-9077	2364-9321	1724406
2040-8706,0082-2884	2040-8706	7703209
1988-3218,0082-5638	1988-3218	15755264
2337-876X,0082-6340	2337-876X	21385236
2031-0234,0083-5897	2031-0234	15755088
2169-4060,0083-7792	2169-4060	6166655
1813-3924,0084-005X	1813-3924	2569111
1947-2978,0084-3695	1947-2978	15752112
2045-0664,0084-4276	2045-0664	15765806
1969-6752,0084-6473	1969-6752	3202084
1090-2341,0090-1229	1090-2341	23929985
1095-9904,0090-3752	1095-9904	1943861
2169-320X,0090-4198	2169-320X	15752078
1532-5830,0090-4996	1532-5830	15765928
1521-0510,0090-8312	1521-0510	15762116
1945-5852,0090-8657	1945-5852	7809165
2326-3660,0091-3847	2326-3660	7757001
2163-1808,0091-4509	2163-1808	15817703
1547-9366,0091-7419	1547-9366	27711760
1938-5463,0091-7648	1938-5463	15749686
2327-6207,0091-7729	2327-6207	7433544
2051-3623,0091-8296	2051-3623	15763976
1550-7149,0092-7015	0092-7015	3186907
2163-1654,0093-3104	2163-1654	15767016
2154-8889,0093-4666	2154-8889	6947226
2327-6223,0094-0771	2327-6223	15758327
1876-3308,0094-3037	1876-3308	27715709
1876-3332,0094-4467	1876-3332	27716425
1532-2440,0094-5714	1532-2440	15752036
2326-1242,0095-1390	2326-1242	4712488
2333-9934,0095-280X	2333-9934	15750989
1550-8366,0095-4403	1550-8366	27709777
2168-8656,0095-4918	2168-8656	7743619
1930-2304,0095-9553	1930-2304	28841182
1553-0809,0095-9898	1553-0809	27720153
2168-0817,0096-1884	2168-0817	27720431
1938-3282,0096-3402	1938-3282	1004412
1934-2683,0096-882X	1934-2683	6295973
1096-911X,0098-1532	1096-911X	15754342
2352-6963,0098-2474	2352-6963	15755046
2327-7556,0098-261X	2327-7556	15758881
1097-0304,0098-6569	1097-0304	27710321
2375-835X,0098-8588	2375-835X	15761455
2150-6698,0099-0086	2150-6698	5146313
1528-6878,0099-183X	1528-6878	15752585
1984-5529,0100-0039	1984-5529	15757545
2236-0999,0100-0888	2236-0999	15753105
2175-6236,0100-3143	2175-6236	27722557
1678-7099,0100-3984	1678-7099	26842548
2317-630X,0100-6045	2317-630X	15751700
2526-3358,0101-3580	2526-3358	21385396
2175-8026,0101-4846	2175-8026	15749724
2317-6318,0101-6628	2317-6318	50426302
2178-4582,0101-9589	0101-9589	50815720
1982-3908,0101-9759	1982-3908	15765990
1983-9774,0102-0323	1983-9774	15756519
1678-4464,0102-311X	1678-4464	26839758
2178-2229,0102-4175	0102-4175	50815725
1982-596X,0102-6801	1982-596X	15755953
1806-9053,0102-6909	1806-9053	10360073
2318-7115,0102-7077	0102-7077	50816902
2176-2724,0102-762X	2176-2724	26839456
2525-5649,0102-9487	0102-9487	50817893
2178-1494,0103-2186	2178-1494	27721633
2175-8042,0103-4111	0103-4111	50815759
1984-4867,0103-5541	0103-5541	50668436
2236-9767,0103-7676	2236-9767	15758583
2448-1750,0103-9709	2448-1750	15754723
1980-5098,0103-9954	1980-5098	15754300
2237-2083,0104-0588	2237-2083	15817707
1806-9282,0104-4230	1806-9282	26842142
2358-2936,0104-6497	2358-2936	21385416
2176-8099,0104-6721	0104-6721	50815747
2238-1236,0104-7582	2238-1236	15749771
2317-6342,0104-7760	2317-6342	15754299
2246-4522,0106-8040	0106-8040	28308904
2057-1593,0107-4083	2057-1593	27713780
2212-9715,0108-8416	2212-9715	15763738
1179-0237,0112-5990	1179-0237	15764895
1175-8783,0114-0671	1175-8783	2534341
1179-1942,0114-5916	1179-1942	15724462
2165-025X,0115-4451	2165-025X	15749600
1996-7241,0116-1105	1996-7241	15750036
2243-7886,0118-5942	2243-7886	15756815
2357-3848,0120-0011	2357-3848	27713108
2011-3668,0120-0062	2011-3668	7318487
2357-6529,0120-0380	2357-6529	15761290
0120-0739,2256-201X	2256-201X	50432901
0120-2146,0123-4870	0120-2146	50434685
2256-3334,0120-386X	2256-3334	50432919
2590-9207,0120-4130	2590-9207	15764015
2346-2426,0120-5323	2346-2426	15755285
2422-2844,0120-6230	2422-2844	50432932
2145-5880,0120-677X	2145-5880	50432934
2346-206X,0120-7555	2346-206X	50432939
2215-9185,0120-971X	2215-9185	27709620
2346-2108,0121-0483	2346-2108	50432946
2145-7670,0121-246X	2145-7670	27709706
2256-358X,0121-3628	2256-358X	15763563
2346-0261,0121-4500	2346-0261	50426503
2248-4337,0121-4772	2248-4337	15756626
2346-3864,0121-8530	2346-3864	50426539
2248-6992,0122-5197	2248-6992	27722716
2346-1691,0122-8102	2346-1691	20014308
2027-534X,0122-8285	2027-534X	15764324
2500-5308,0122-8706	2500-5308	46993478
2027-5358,0123-1294	2027-5358	50432961
2027-5382,0123-3122	2027-5382	50432962
2248-7085,0123-4641	2248-7085	27724755
2145-454X,0123-5362	2145-454X	15757324
2027-212X,0124-0137	2027-212X	50434708
2357-5905,0124-177X	2357-5905	50434714
2346-2450,0124-5996	2346-2450	15756812
2502-5694,0125-9989	2502-5694	15755613
2087-4634,0126-0472	0126-0472	27723675
2356-3931,0126-1312	2356-3931	27717748
2356-5322,0126-1568	2356-5322	50434751
0126-8694,0126-5008	0126-8694	50434741
2180-4206,0126-6705	2180-4206	15745516
2180-4273,0127-4082	2180-4273	15765599
2377-6277,0129-6612	2377-6277	15756887
2345-0045,0132-6503	2345-0045	15762501
1788-9170,0133-3720	1788-9170	2162681
2542-0976,0136-7463	2542-0976	15760322
2083-3601,0137-1983	2083-3601	15750825
2084-4077,0137-2432	2084-4077	17619393
1897-7499,0137-2459	1897-7499	15763462
2084-4158,0137-2475	2084-4158	15754932
2081-6383,0137-477X	0137-477X	50815365
2300-262X,0137-5075	2300-262X	2170008
2083-831X,0137-6365	0137-6365	50815508
2081-8262,0138-0338	2081-8262	15765305
2191-0383,0138-4821	2191-0383	15752968
1805-9295,0139-570X	1805-9295	8068928
1365-2885,0140-7783	1365-2885	15753250
1365-2257,0141-9854	1365-2257	15751320
2051-2996,0142-257X	2051-2996	15753338
1467-2494,0142-5463	1467-2494	15755008
1569-979X,0142-5471	1569-979X	15765065
2162-8246,0143-0750	2162-8246	15817139
2160-2506,0143-3768	2160-2506	15752062
1365-2680,0144-1795	1365-2680	15754246
1365-2281,0144-5979	1365-2281	26839861
2047-8720,0144-7394	2047-8720	7691285
2165-0616,0144-8765	2165-0616	13439424
1555-5917,0146-0412	1555-5917	24039150
2327-4271,0146-1109	2327-4271	15754493
1558-108X,0146-4116	1558-108X	15761403
1872-969X,0146-6453	1872-969X	15756280
1876-5165,0147-1694	1876-5165	17118852
2046-0236,0147-8885	2046-0236	27715233
2044-396X,0147-9156	2044-396X	15759370
1520-8516,0148-6055	1520-8516	6295875
1930-2398,0148-6403	1930-2398	13703062
1554-3919,0148-7280	1554-3919	26842156
1096-8628,0148-7299	1096-8628	15755121
1745-4546,0149-6085	1745-4546	15716288
1969-6582,0151-4105	1969-6582	15761462
2498-4191,0152-0032	2498-4191	3392873
2101-0390,0152-0768	2101-0390	3400800
1965-0620,0152-7401	1965-0620	15760603
2429-4667,0153-1700	2429-4667	27719037
1960-6028,0153-3320	1960-6028	15264360
1969-6779,0154-8344	1969-6779	47009269
2164-6058,0157-6895	2164-6058	15745249
2367-1793,0159-7868	2367-1793	15765975
1943-3409,0160-323X	1943-3409	7603648
2372-9708,0160-5976	2372-9708	18350356
1096-0910,0161-7346	1096-0910	14510647
2162-9501,0162-3532	2162-9501	6294698
2381-3121,0162-6434	2381-3121	15758446
2160-9292,0162-8828	2160-9292	3146632
1467-6427,0163-4445	1467-6427	6295203
2398-4635,0163-5484	2398-4635	15764866
1540-8566,0163-9366	1540-8566	15817547
1551-2371,0164-7989	1551-2371	15758915
1477-8947,0165-0209	0165-0209	6980597
1875-2985,0165-0300	1875-2985	27717189
2211-2898,0165-0505	2211-2898	15765260
1613-4117,0165-4888	1613-4117	7708394
1573-1057,0167-6865	1573-1057	27711280
2191-0235,0167-8299	2191-0235	15760029
2214-7705,0169-3379	2214-7705	15757205
1568-5225,0169-796X	1568-5225	24915110
1612-7021,0170-1452	1612-7021	1244230
2235-1485,0170-1789	2235-1485	15710017
2365-9858,0171-5860	2365-9858	485105
1439-0515,0172-1631	1439-0515	1969911
1438-8782,0172-4614	1438-8782	2477376
2366-4185,0173-184X	2366-4185	2071066
2196-6753,0174-4747	2196-6753	15751184
1439-0426,0175-8659	1439-0426	15766550
0949-2925,0178-3564	0949-2925	15754807
0949-2925,0178-3564	0949-2925	15754807
2194-4172,0179-1990	2194-4172	2670841
2107-0865,0180-7307	2107-0865	15753572
2272-8988,0180-8214	2272-8988	2986195
2260-2941,0181-0448	2260-2941	27716583
1297-9708,0181-1916	1297-9708	26842168
2259-8863,0183-973X	2259-8863	27719040
2054-4715,0184-7678	2054-4715	15761395
2272-9828,0184-7694	2272-9828	27721631
2448-6558,0185-0121	2448-6558	15754894
2448-6523,0185-013X	2448-6523	27718767
2448-654X,0185-0164	2448-654X	26849536
2448-6531,0185-0172	2448-6531	15750599
2448-6221,0185-1225	2448-6221	27715587
1870-3062,0185-1276	1870-3062	15757887
2448-492X,0185-1918	2448-492X	27716278
1870-4913,0185-2450	1870-4913	5811901
2448-5179,0185-2574	2448-5179	50434863
0186-761X,0185-3325	0186-761X	15753498
2395-9053,0185-3880	2395-9053	27721221
2448-7554,0185-3929	2448-7554	27722725
2007-0802,0185-4534	2007-0802	27717192
2395-8464,0186-0348	2395-8464	27722249
2448-8410,0186-1042	2448-8410	15816448
2007-4018,0186-3231	0186-3231	50808201
2448-6515,0186-7210	2448-6515	15752766
2395-8812,0187-6236	2395-8812	15749370
2395-9134,0187-6961	2395-9134	50434852
2448-8216,0188-2546	2448-8216	15763057
2448-7279,0188-4611	2448-7279	15817196
2007-8498,0188-6649	2007-8498	15759278
2309-4982,0188-7653	2309-4982	27718520
2395-8669,0188-9834	2395-8669	50434830
2505-0044,0189-6016	2505-0044	4689838
1098-898X,0189-7860	0189-7860	27714748
2437-2110,0189-9546	0189-9546	50817552
2211-6001,0191-8575	2211-6001	15759623
1526-3347,0191-9601	1526-3347	26842160
1930-238X,0192-2521	1930-238X	23973372
1520-6408,0192-253X	1520-6408	5532784
2157-6475,0192-4036	2157-6475	15760802
2191-0227,0193-4929	2191-0227	19299094
1365-2192,0193-6484	0193-6484	28133280
2051-6150,0193-7774	2051-6150	15761725
1558-4453,0193-9416	1558-4453	27712145
2156-4795,0194-3448	2156-4795	15754942
1540-9473,0195-7732	1540-9473	15763597
1572-9559,0195-9271	1572-9559	2401065
2327-9451,0195-9417	2327-9451	24091431
2167-8529,0195-9468	2167-8529	15762607
1541-5716,0196-4305	1541-5716	24031548
1541-4833,0196-4313	1541-4833	24031547
1541-4841,0196-4321	1541-4841	26839452
1097-0320,0196-4763	1097-0320	26839766
2168-3417,0196-5204	2168-3417	7390259
2325-8454,0196-6324	2325-8454	15751509
1945-2330,0197-1360	1945-2330	15754895
2042-3195,0197-6729	2042-3195	15751985
2051-6185,0197-7261	2051-6185	15751661
2163-5307,0198-7429	2163-5307	15754052
2410-4698,0201-7563	2410-4698	15750229
2522-9036,0201-8489	2522-9036	27710877
2083-6104,0208-841X	2083-6104	15817114
2353-0960,0208-8916	2353-0960	29317100
2391-6842,0209-0864	2391-6842	9150353
1578-9519,0210-5705	1578-9519	27714100
2253-8291,0210-7716	2253-8291	15760254
2254-6243,0211-4526	2254-6243	27718586
2386-3846,0212-0267	2386-3846	50434806
1699-5198,0212-1611	1699-5198	6047211
2366-1674,0212-5919	2366-1674	15751331
1695-2294,0212-9728	1695-2294	50434802
1988-3080,0213-0181	1988-3080	15755022
2254-6774,0213-2028	2254-6774	15765585
2445-3595,0213-2060	2445-3595	15749627
2444-3565,0213-2095	2444-3565	15754928
2014-6000,0213-2397	2014-6000	15757036
2053-339X,0213-5949	2053-339X	15767282
1988-2971,0214-3038	1988-2971	15763491
2174-0925,0214-3402	2174-0925	50434788
2172-4547,0214-7688	2172-4547	27720972
2386-7159,0214-8188	0214-8188	47413493
2014-0983,0214-8757	0214-8757	50518117
2174-4025,0214-9117	2174-4025	15766664
2355-6145,0215-0492	2355-6145	24261931
2502-6577,0215-0883	2502-6577	50434777
1907-770X,0215-6334	1907-770X	27723923
2356-2641,0215-773X	2356-2641	50434944
2252-3901,0216-3160	0216-3160	50816366
2301-8658,0216-6887	2301-8658	50434910
1993-0615,0217-9822	1993-0615	15753449
2165-0993,0218-5385	2165-0993	15752334
2424-7731,0219-2462	2424-7731	7740161
1793-6934,0219-7995	1793-6934	15752541
2271-6149,0220-5610	2271-6149	15755345
1464-3731,0221-8553	0221-8553	6294744
1724-2134,0223-5102	1724-2134	15754782
1968-3952,0223-5706	1968-3952	27718355
2158-9100,0225-5189	2158-9100	15749965
1927-3924,0226-9554	1927-3924	28840814
1918-7742,0228-0086	1918-7742	27715400
1338-4325,0231-5882	1338-4325	15754668
2196-6761,0232-8461	2196-6761	114835
1522-239X,0233-187X	0233-187X	5643138
2500-2341,0234-2758	2500-2341	15761859
2411-3042,0234-5730	2411-3042	27710979
2410-8685,0236-2791	2410-8685	27709671
2063-1588,0237-5419	2063-1588	21386066
2083-7399,0239-4243	2083-7399	15760349
2450-5846,0239-8524	2450-5846	9261163
2258-7519,0240-2963	2258-7519	2850681
2425-1941,0242-7702	2425-1941	15764191
2264-5047,0244-7827	2264-5047	2101486
2260-7730,0246-0092	2260-7730	15750360
2111-4587,0246-2346	2111-4587	3222488
1782-1568,0247-106X	1782-1568	47010074
2272-9852,0247-381X	2272-9852	15750078
2297-3850,0248-4951	2297-3850	3345255
2429-4373,0248-9015	2429-4373	27653875
2119-5242,0248-9430	2119-5242	50434896
1777-5795,0249-4744	1777-5795	27659718
1297-9643,0249-5627	1297-9643	2674259
2274-0511,0249-6267	2274-0511	15763308
1760-7361,0249-7638	1760-7361	2928058
2148-8320,0250-2836	2148-8320	50434894
2287-5174,0250-3360	2287-5174	27723727
0973-970X,0250-4758	0973-970X	27722376
2235-2112,0250-4952	2235-2112	47010146
2250-1754,0250-541X	2250-1754	15764047
1752-1734,0250-605X	1752-1734	6053235
2320-0308,0250-8281	2320-0308	15751422
1661-3740,0250-9652	1661-3740	27720535
1661-3740,0250-9652	1661-3740	27720535
1423-0119,0251-1789	1423-0119	27711297
1573-1782,0251-2513	0251-2513	15761157
2166-8604,0251-3625	2166-8604	15766365
2065-961X,0252-1938	2065-961X	15763643
2169-0103,0252-2667	2169-0103	15752369
2223-375X,0252-8894	2223-375X	27722319
2287-8432,0252-9777	2287-8432	27723915
1421-9983,0253-4886	1421-9983	15766136
2504-2424,0253-5076	2504-2424	27710504
2079-9926,0253-5416	2079-9926	15751397
2408-8447,0253-5432	2408-8447	27718168
2383-5249,0253-651X	2383-5249	27714189
2305-445X,0254-1807	2305-445X	15759659
2304-4306,0254-4415	2304-4306	15766113
2394-0379,0254-8704	2394-0379	6295160
0975-0711,0254-8860	0975-0711	6020775
2223-3768,0254-9239	2223-3768	15756855
1991-7139,0254-9409	1991-7139	15427299
1421-9948,0254-9670	1421-9948	26853955
2057-1690,0254-9948	2057-1690	480577
1662-2820,0255-3910	1662-2820	27712697
2313-1942,0255-7576	2313-1942	15754252
2395-3799,0256-0909	2395-3799	27718862
1995-641X,0256-2804	1995-641X	27718392
1878-5174,0256-2928	1878-5174	15750168
1439-6203,0256-7679	1439-6203	15761436
2150-2641,0256-8543	2150-2641	15758120
2304-8263,0256-8861	2304-8263	15750309
2167-034X,0257-1862	2167-034X	15758598
2305-1159,0257-2117	2305-1159	15759547
2235-1655,0257-2761	2235-1655	27712706
0973-080X,0257-6430	0973-080X	15761959
2147-8716,0257-8212	2147-8716	27711318
2321-0710,0258-042X	2321-0710	24910935
2519-593X,0258-2236	2519-593X	15765365
2219-8237,0258-2279	2219-8237	15760975
2414-3197,0258-2384	2414-3197	27718675
1726-1686,0258-2473	1726-1686	15761363
2049-1999,0258-3690	2049-1999	5969743
1791-7549,0258-851X	1791-7549	15749806
1470-1014,0258-9346	0258-9346	7318360
2478-1169,0258-9710	2478-1169	27718838
2224-0012,0259-2312	2224-0012	7166748
2047-945X,0260-1060	2047-945X	7070511
2321-5305,0260-1079	2321-5305	15709938
1360-0605,0260-1362	1360-0605	15751179
1468-5949,0260-9991	1468-5949	6051301
2160-2565,0261-3530	2160-2565	15752508
1466-4496,0261-4367	0261-4367	15750707
1573-4811,0261-8028	1573-4811	3233386
2150-3435,0262-6667	2150-3435	15766458
2041-4978,0262-821X	2041-4978	2617037
2157-1430,0263-0672	2157-1430	15814250
2048-4046,0263-0923	2048-4046	15761686
2045-0044,0263-3264	2045-0044	15753688
1473-7116,0263-5933	1473-7116	15746642
2052-6148,0263-7189	2052-6148	15766029
1472-3425,0263-774X	1472-3425	15757279
1234-980X,0263-8371	1234-980X	15752477
2042-7689,0263-841X	2042-7689	6010443
1468-0122,0264-3944	1468-0122	15765971
2047-900X,0264-5033	2047-900X	7243070
2376-4538,0264-6811	2376-4538	15762890
2046-5556,0264-8725	2046-5556	15761672
1464-5122,0265-203X	1464-5122	15760547
1478-9833,0266-0830	1478-9833	15765919
0266-3511,0956-0599	0956-0599	15760989
2164-4527,0267-3843	2164-4527	15764275
1573-7195,0267-4874	1573-7195	27708848
2222-4270,0267-5315	2222-4270	15765237
1465-3389,0268-1110	1465-3389	13574892
2050-4616,0268-117X	2050-4616	15763184
1365-280X,0268-1218	1365-280X	27711692
1944-8279,0268-2621	1944-8279	15759535
1464-5041,0268-7038	1464-5041	26842312
2159-8347,0269-249X	2159-8347	15749529
2151-2124,0269-8803	2151-2124	15762413
1464-0605,0269-915X	1464-0605	27714725
2168-3824,0270-1367	2168-3824	15755079
1540-9473,0270-1960	1540-9473	15817231
1520-6866,0270-3211	1520-6866	15724449
2156-6941,0270-5060	2156-6941	15764458
2330-3840,0271-9517	2330-3840	15762711
1095-6832,0272-0590	1095-6832	23979209
1943-9954,0272-2011	1943-9954	15750863
1547-1748,0275-3723	1547-1748	27711610
2327-9621,0277-1322	2327-9621	15749591
1943-6246,0277-5212	1943-6246	15761625
2162-4496,0278-0771	2162-4496	25049135
2182-567X,0278-5307	2182-567X	15753032
2159-9777,0279-1072	2159-9777	6295808
2372-966X,0279-6015	2372-966X	15755746
1883-8081,0285-0370	1883-8081	15765394
1884-5126,0286-9306	1884-5126	15760763
2189-5317,0287-3478	2189-5317	21386210
1883-2849,0287-3516	1883-2849	15758374
1881-1361,0287-4547	1881-1361	15746609
2185-8888,0287-5330	2185-8888	27710139
1883-4396,0289-6001	1883-4396	27718638
1777-5841,0292-0107	1777-5841	779301
1777-5914,0294-0337	1777-5914	27715197
1968-391X,0294-1805	1968-391X	15763113
2268-1558,0294-7080	2268-1558	15762669
1953-8286,0295-2319	1953-8286	3395239
2271-7943,0295-4397	2271-7943	2850688
2271-8362,0297-2964	2271-8362	27714256
0579-2129,0300-2896	0579-2129	15758096
1475-7575,0300-4279	1475-7575	15757165
1573-7381,0300-4864	1573-7381	15761849
2336-1980,0300-5402	2336-1980	27717414
1435-1285,0300-5860	1435-1285	2665050
1879-6583,0300-693X	1879-6583	1165540
1433-8580,0300-9130	1433-8580	27712949
1664-2821,0300-9831	1664-2821	15757632
2219-1607,0301-035X	2219-1607	27717958
1080-8178,0301-0406	1080-8178	50435031
1439-0353,0301-0481	1439-0353	27713901
1664-2872,0301-1526	1664-2872	15767573
1423-0275,0301-1569	1423-0275	4398383
1881-7742,0301-4800	1881-7742	15758374
0974-9098,0301-5742	0974-9098	27711598
1757-0263,0301-7257	1757-0263	15761780
2318-5066,0301-7273	2318-5066	27721549
2316-9052,0302-2439	2316-9052	15733641
1782-1444,0302-3052	1782-1444	27717517
1438-9428,0302-4350	1438-9428	15752256
2079-2883,0303-1896	2079-2883	15752340
2158-0812,0303-3910	2158-0812	15751840
1175-8899,0303-6758	1175-8899	2790617
2230-4886,0303-7193	2230-4886	15757911
2076-5827,0303-7495	2076-5827	15762598
1587-3811,0303-7800	1587-3811	15754972
1420-911X,0303-8408	1420-911X	1666670
2411-2909,0303-965X	2411-2909	6052746
2248-7026,0304-2847	2248-7026	50435027
2222-4610,0304-3037	2222-4610	47009773
2163-3150,0304-3754	2163-3150	4736605
2454-8480,0304-5242	2454-8480	6295773
0718-1620,0304-5609	0304-5609	15731316
2408-8455,0304-9027	2408-8455	15750912
1757-1634,0305-1498	1757-1634	7115398
0305-4470,1361-6447	1361-6447	1068402
1749-6292,0305-5477	1749-6292	15765831
1474-1032,0305-5728	1474-1032	15759808
2448-8445,0065-1737	2448-8445	3618784
2571-7294,0250-6793	2571-7294	27713498
2571-6689,0543-3002	2571-6689	27712005
2571-6492,0550-4031	2571-6492	27712352
2599-2856,1410-5292	2599-2856	50515645
2442-9260,0126-155X	2442-9260	15816866
2502-2725,2252-6560	2502-2725	50811156
1465-3877,0305-7240	1465-3877	15762704
2050-4594,0306-1973	2050-4594	15766239
2222-4289,0306-2473	2222-4289	15750393
1759-6106,0306-3070	1759-6106	15753672
2050-4586,0306-4190	2050-4586	15762894
2168-1074,0307-1375	2168-1074	15746540
1744-0378,0307-1847	0307-1847	7277995
2040-1590,0307-4463	2040-1590	15761940
2059-7525,0307-4722	2059-7525	15816878
1365-2273,0307-7772	1365-2273	2615228
2150-7295,0308-7298	2150-7295	15753626
1365-2737,0309-3891	1365-2737	15763914
2210-5328,0311-6999	2210-5328	15765217
2470-0363,0312-2417	2470-0363	15716632
1839-3942,0312-8008	1839-3942	15754242
2200-4025,0312-9764	2200-4025	7697818
2204-4183,1034-4233	2204-4183	15756172
1911-4850,0315-0941	1911-4850	15764976
1492-1391,0316-2923	1492-1391	15753015
1911-9917,0317-0861	1911-9917	15763403
2057-0155,0317-1671	2057-0155	5030246
1923-5151,0318-4137	1923-5151	27716144
1705-0065,0318-479X	1705-0065	27716595
1927-7075,0318-6148	1927-7075	29043711
2304-4861,0323-4045	2304-4861	186616
2304-4934,0323-4096	2304-4934	15763693
2304-4896,0323-4142	2304-4896	15749659
1477-2906,0323-5408	1477-2906	15753833
2545-7594,0325-1071	2545-7594	27713023
2346-8971,0325-173X	0325-173X	50817015
2362-5570,0329-2177	2362-5570	15757737
2034-6506,0332-1592	2034-6506	7168869
2050-4918,0332-4893	2050-4918	15757849
0807-7487,0332-5415	0807-7487	17772969
2535-2660,0332-608X	2535-2660	12009773
1504-310X,0333-2810	0333-2810	19388751
2191-0278,0334-0139	2191-0278	26842034
2191-0200,0334-1763	2191-0200	15750651
2191-026X,0334-1860	2191-026X	15757245
2191-0162,0334-2190	2191-0162	27713069
2040-4786,0334-4355	2040-4786	15755268
1878-7665,0334-5114	1878-7665	15749217
2191-0340,0334-6447	2191-0340	15758906
2191-0324,0334-6455	2191-0324	15757135
1951-6290,0335-7899	1951-6290	16653594
1777-5574,0336-1454	1777-5574	3578753
1475-3065,0336-9306	0336-9306	7437800
1776-2804,0337-3126	1776-2804	47009720
1777-5663,0338-4551	1777-5663	15708752
2261-0200,0338-9316	2261-0200	27716364
2190-3824,0340-1766	2190-3824	27710930
2366-0325,0340-1804	2366-0325	186743
2194-4202,0340-1812	2194-4202	1484228
1866-8852,0340-2398	1866-8852	27716373
2366-4681,0340-2444	2366-4681	18633203
1612-7048,0340-2479	1612-7048	186751
1438-938X,0340-2541	1438-938X	15760220
2366-2069,0340-7497	2366-2069	186712
1862-2550,0340-918X	1862-2550	1348133
1438-9940,0341-051X	1438-9940	15752258
2366-6153,0341-2687	2366-6153	2245645
2194-3818,0341-289X	2194-3818	564289
1865-7648,0341-4183	1865-7648	856448
2198-0454,0342-2410	2198-0454	15724483
2367-2293,0342-2852	2367-2293	186753
2366-2077,0342-3468	2366-2077	186773
2367-5365,0342-7536	2367-5365	21385097
2191-1738,0342-8427	2191-1738	15816625
1432-2196,0344-4325	1432-2196	15724576
2510-5264,0344-5925	2510-5264	27715016
2366-6757,0344-7871	2366-6757	2135391
2334-8259,0350-0861	2334-8259	29043693
1820-7405,0350-1302	1820-7405	15767570
1846-7954,0350-154X	1846-7954	27718874
0350-1914,1857-9345	0350-1914	27727223
1986-5961,0350-199X	1986-5961	26842351
1580-335X,0350-3895	1580-335X	15817335
1848-9540,0351-1944	1848-9540	15749188
1848-2309,0351-4706	1848-2309	15753511
1846-6346,0352-3659	1846-6346	15758302
2406-0828,0352-4906	2406-0828	15752198
1848-2317,0352-7875	1848-2317	15749154
1846-5153,0352-9568	1846-5153	15765398
2334-8577,0353-5738	2334-8577	15816966
2334-8364,0354-3471	2334-8364	15817689
1821-4339,0354-4664	1821-4339	15766542
2406-0518,0354-4702	2406-0518	15757498
2406-0933,0354-5180	2406-0933	15256437
2217-8074,0354-6055	2217-8074	15750100
1450-9520,0354-7310	1450-9520	15757203
2334-7163,0354-9836	2334-7163	2180266
1525-6022,0360-2540	1525-6022	3478846
1525-1500,0361-090X	1525-1500	2534486
2042-1729,0361-2112	2042-1729	27722618
1471-6399,0361-2333	1471-6399	27716103
1558-2744,0361-5413	1558-2744	15758694
2447-8067,0361-6525	2447-8067	15750286
2166-5508,0362-1529	2166-5508	1742895
2325-2324,0362-5028	2325-2324	15759835
1522-1539,0363-6135	1522-1539	3193662
1286-4846,0365-0138	1286-4846	752075
2083-7402,0365-1029	2083-7402	15752314
2358-792X,0365-2203	2358-792X	27709207
1286-482X,0365-4877	1286-482X	3615025
1099-0690,0365-5490	0365-5490	899286
1099-0682,0365-9631	0365-9631	899591
2173-0431,0366-3175	2173-0431	50403036
1439-0345,0367-4223	1439-0345	1885453
0974-8172,0367-8288	0974-8172	21385219
2248-9800,0367-973X	2248-9800	15767515
2587-9359,0368-4814	2587-9359	27717933
2305-2783,0368-8666	2305-2783	4284728
1826-9877,0369-3554	0369-3554	15765736
1881-4883,0369-4305	1881-4883	26842850
2250-1746,0369-8211	2250-1746	21385287
1661-8165,0369-8394	1661-8165	27712710
1747-2741,0370-0461	1747-2741	6087093
